country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Spain,822k,,,,,1.02M,,,,,1.66M,,,,,4.11M,,,,,6.28M,,,,,5.89M,,,,,6.84M
Estonia,382k,,,,,316k,,,,,250k,,,,,234k,,,,,218k,,,,,195k,,,,,199k
Ethiopia,1.16M,,,,,807k,,,,,611k,,,,,514k,,,,,569k,,,,,1.16M,,,,,1.09M
Finland,63.3k,,,,,99.7k,,,,,136k,,,,,192k,,,,,228k,,,,,315k,,,,,386k
Fiji,13.3k,,,,,13k,,,,,12.7k,,,,,12.4k,,,,,13.4k,,,,,13.8k,,,,,14.1k
France,5.9M,,,,,6.09M,,,,,6.28M,,,,,6.74M,,,,,7.31M,,,,,7.88M,,,,,8.52M
"Micronesia, Fed. Sts.",3690,,,,,3340,,,,,3120,,,,,2910,,,,,2810,,,,,2760,,,,,2830
Gabon,128k,,,,,171k,,,,,214k,,,,,234k,,,,,271k,,,,,379k,,,,,417k
UK,3.65M,,,,,4.16M,,,,,4.73M,,,,,5.93M,,,,,7.12M,,,,,8.41M,,,,,9.36M
Georgia,304k,,,,,152k,,,,,76.1k,,,,,71.3k,,,,,73.1k,,,,,76.7k,,,,,79.4k
Ghana,165k,,,,,253k,,,,,192k,,,,,310k,,,,,338k,,,,,415k,,,,,476k
Guinea,404k,,,,,775k,,,,,560k,,,,,233k,,,,,179k,,,,,127k,,,,,121k
Gambia,118k,,,,,151k,,,,,183k,,,,,182k,,,,,186k,,,,,193k,,,,,216k
Guinea-Bissau,15.4k,,,,,28k,,,,,20.4k,,,,,20.9k,,,,,21.4k,,,,,22.3k,,,,,17.9k
Equatorial Guinea,2740,,,,,3630,,,,,4520,,,,,6590,,,,,8660,,,,,210k,,,,,231k
Greece,618k,,,,,858k,,,,,1.11M,,,,,1.19M,,,,,1.32M,,,,,1.24M,,,,,1.34M
Grenada,4260,,,,,5540,,,,,6830,,,,,6900,,,,,6980,,,,,7060,,,,,7210
Guatemala,264k,,,,,156k,,,,,48.1k,,,,,57.2k,,,,,66.4k,,,,,74.9k,,,,,84.3k
Guyana,4100,,,,,6350,,,,,8610,,,,,10.9k,,,,,8180,,,,,8660,,,,,31.2k
"Hong Kong, China",2.22M,,,,,2.44M,,,,,2.67M,,,,,2.72M,,,,,2.78M,,,,,2.84M,,,,,2.96M
Honduras,270k,,,,,149k,,,,,28.5k,,,,,27.9k,,,,,27.3k,,,,,38.3k,,,,,39.2k
Holy See,762,,,,,778,,,,,790,,,,,798,,,,,783,,,,,790,,,,,809
Croatia,475k,,,,,674k,,,,,585k,,,,,579k,,,,,573k,,,,,561k,,,,,528k
Haiti,19.1k,,,,,18.1k,,,,,17.2k,,,,,16.4k,,,,,17.2k,,,,,18k,,,,,18.9k
Hungary,348k,,,,,322k,,,,,297k,,,,,367k,,,,,437k,,,,,476k,,,,,585k
Indonesia,466k,,,,,379k,,,,,292k,,,,,289k,,,,,307k,,,,,338k,,,,,356k
India,7.59M,,,,,6.95M,,,,,6.41M,,,,,5.94M,,,,,5.57M,,,,,5.21M,,,,,4.88M
Ireland,228k,,,,,227k,,,,,351k,,,,,589k,,,,,731k,,,,,759k,,,,,871k
Iran,4.29M,,,,,2.94M,,,,,2.48M,,,,,2.55M,,,,,2.72M,,,,,2.73M,,,,,2.8M
Iraq,83.6k,,,,,199k,,,,,211k,,,,,135k,,,,,120k,,,,,359k,,,,,366k
Iceland,9580,,,,,12.7k,,,,,15.9k,,,,,25.5k,,,,,35.1k,,,,,39.1k,,,,,65.4k
Israel,1.63M,,,,,1.79M,,,,,1.85M,,,,,1.89M,,,,,1.96M,,,,,2.01M,,,,,1.95M
Italy,1.43M,,,,,1.77M,,,,,2.12M,,,,,3.95M,,,,,5.79M,,,,,5.81M,,,,,6.39M
Jamaica,20.5k,,,,,22.7k,,,,,25k,,,,,24.3k,,,,,23.7k,,,,,23.2k,,,,,23.6k
Jordan,1.15M,,,,,1.54M,,,,,1.93M,,,,,2.2M,,,,,2.79M,,,,,3.17M,,,,,3.46M
Japan,1.08M,,,,,1.36M,,,,,1.69M,,,,,2.01M,,,,,2.13M,,,,,2.23M,,,,,2.77M
Kazakhstan,3.62M,,,,,3.25M,,,,,2.87M,,,,,3.1M,,,,,3.33M,,,,,3.55M,,,,,3.73M
Kenya,298k,,,,,619k,,,,,708k,,,,,773k,,,,,955k,,,,,1.13M,,,,,1.05M
Kyrgyz Republic,623k,,,,,518k,,,,,390k,,,,,309k,,,,,232k,,,,,204k,,,,,199k
Cambodia,38.4k,,,,,92.2k,,,,,146k,,,,,114k,,,,,82k,,,,,74k,,,,,79.3k
Kiribati,2160,,,,,2220,,,,,2280,,,,,2490,,,,,2870,,,,,2920,,,,,3130
St. Kitts and Nevis,3210,,,,,4250,,,,,5870,,,,,6680,,,,,7250,,,,,7440,,,,,7730
South Korea,43.2k,,,,,124k,,,,,244k,,,,,486k,,,,,920k,,,,,1.37M,,,,,1.73M
Kuwait,1.07M,,,,,922k,,,,,1.13M,,,,,1.33M,,,,,1.87M,,,,,2.87M,,,,,3.11M
Lao,22.9k,,,,,23.5k,,,,,21.9k,,,,,20.4k,,,,,33k,,,,,45.5k,,,,,48.7k
Lebanon,524k,,,,,608k,,,,,693k,,,,,742k,,,,,793k,,,,,1.92M,,,,,1.71M
Liberia,95k,,,,,209k,,,,,152k,,,,,87.2k,,,,,99.2k,,,,,112k,,,,,87.9k
Libya,457k,,,,,508k,,,,,567k,,,,,625k,,,,,687k,,,,,771k,,,,,827k
St. Lucia,5310,,,,,7160,,,,,9870,,,,,9840,,,,,9050,,,,,8670,,,,,8340
Liechtenstein,10.9k,,,,,13.3k,,,,,15.5k,,,,,18.9k,,,,,22.3k,,,,,23.8k,,,,,25.9k
Sri Lanka,41.6k,,,,,40.8k,,,,,40.1k,,,,,39.5k,,,,,39k,,,,,39.7k,,,,,40.3k
Lesotho,8240,,,,,7200,,,,,6170,,,,,6290,,,,,6410,,,,,9150,,,,,12.1k
Lithuania,349k,,,,,274k,,,,,214k,,,,,201k,,,,,161k,,,,,136k,,,,,145k
Luxembourg,114k,,,,,126k,,,,,140k,,,,,151k,,,,,163k,,,,,249k,,,,,298k
Latvia,646k,,,,,538k,,,,,430k,,,,,377k,,,,,314k,,,,,265k,,,,,239k
Morocco,54.9k,,,,,50.4k,,,,,53k,,,,,56.2k,,,,,71.2k,,,,,92.4k,,,,,102k
Monaco,20.4k,,,,,21.1k,,,,,21.8k,,,,,21.3k,,,,,21.1k,,,,,26k,,,,,26.6k
Moldova,544k,,,,,367k,,,,,248k,,,,,171k,,,,,129k,,,,,106k,,,,,104k
Madagascar,23.9k,,,,,21.2k,,,,,23.5k,,,,,26.1k,,,,,28.9k,,,,,32.1k,,,,,35.6k
Maldives,8690,,,,,18.5k,,,,,27.1k,,,,,45k,,,,,54.7k,,,,,64.3k,,,,,70.1k
Mexico,696k,,,,,459k,,,,,538k,,,,,713k,,,,,970k,,,,,1.01M,,,,,1.2M
Marshall Islands,1160,,,,,1480,,,,,1890,,,,,2420,,,,,3090,,,,,3280,,,,,3300
North Macedonia,95.1k,,,,,109k,,,,,126k,,,,,128k,,,,,130k,,,,,131k,,,,,131k
Mali,161k,,,,,176k,,,,,189k,,,,,259k,,,,,341k,,,,,421k,,,,,486k
Malta,15.1k,,,,,17.7k,,,,,21.5k,,,,,24.6k,,,,,33k,,,,,52.6k,,,,,115k
Myanmar,134k,,,,,114k,,,,,98k,,,,,83k,,,,,76.4k,,,,,73.3k,,,,,76.4k
Montenegro,0,,,,,0,,,,,0,,,,,0,,,,,78.5k,,,,,71.7k,,,,,71k
Mongolia,6720,,,,,7420,,,,,8210,,,,,11.5k,,,,,16.1k,,,,,19.9k,,,,,21.3k
Mozambique,122k,,,,,168k,,,,,196k,,,,,269k,,,,,306k,,,,,322k,,,,,339k
Mauritania,112k,,,,,89.6k,,,,,57.4k,,,,,58.2k,,,,,84.9k,,,,,167k,,,,,182k
Mauritius,3610,,,,,7490,,,,,15.5k,,,,,19.6k,,,,,24.8k,,,,,28.6k,,,,,28.9k
Malawi,1.13M,,,,,242k,,,,,233k,,,,,222k,,,,,218k,,,,,197k,,,,,191k
Malaysia,696k,,,,,937k,,,,,1.46M,,,,,1.92M,,,,,2.42M,,,,,3.28M,,,,,3.48M
Namibia,121k,,,,,115k,,,,,136k,,,,,107k,,,,,104k,,,,,102k,,,,,109k
Niger,115k,,,,,146k,,,,,122k,,,,,125k,,,,,126k,,,,,253k,,,,,348k
Nigeria,457k,,,,,463k,,,,,488k,,,,,970k,,,,,990k,,,,,1.2M,,,,,1.31M
Nicaragua,41.4k,,,,,26.6k,,,,,30.4k,,,,,34.9k,,,,,37.3k,,,,,40.3k,,,,,42.2k
Netherlands,1.18M,,,,,1.35M,,,,,1.56M,,,,,1.74M,,,,,1.83M,,,,,2M,,,,,2.36M
Norway,193k,,,,,233k,,,,,292k,,,,,361k,,,,,525k,,,,,746k,,,,,852k
Nepal,430k,,,,,690k,,,,,718k,,,,,681k,,,,,582k,,,,,509k,,,,,488k
Nauru,2820,,,,,2610,,,,,2390,,,,,2250,,,,,906,,,,,1830,,,,,2200
New Zealand,518k,,,,,589k,,,,,679k,,,,,840k,,,,,947k,,,,,1.04M,,,,,1.38M
Oman,304k,,,,,540k,,,,,624k,,,,,666k,,,,,816k,,,,,1.86M,,,,,2.37M
Pakistan,6.21M,,,,,3.67M,,,,,4.18M,,,,,3.17M,,,,,3.94M,,,,,3.51M,,,,,3.28M
Panama,62.7k,,,,,70.8k,,,,,83.4k,,,,,109k,,,,,158k,,,,,185k,,,,,313k
Peru,56.7k,,,,,56.7k,,,,,66.3k,,,,,77.9k,,,,,105k,,,,,155k,,,,,1.22M
Philippines,154k,,,,,207k,,,,,318k,,,,,257k,,,,,209k,,,,,212k,,,,,226k
Palau,2800,,,,,4750,,,,,6310,,,,,6040,,,,,5490,,,,,4940,,,,,5090
Papua New Guinea,33.7k,,,,,33.5k,,,,,26.3k,,,,,30k,,,,,30.4k,,,,,30.9k,,,,,31.1k
Poland,1.13M,,,,,965k,,,,,825k,,,,,723k,,,,,642k,,,,,612k,,,,,817k
North Korea,34.1k,,,,,35.1k,,,,,36.2k,,,,,40.1k,,,,,44k,,,,,48.5k,,,,,49.5k
Portugal,436k,,,,,533k,,,,,651k,,,,,771k,,,,,763k,,,,,865k,,,,,1M
Paraguay,196k,,,,,187k,,,,,177k,,,,,168k,,,,,160k,,,,,156k,,,,,170k
Palestine,288k,,,,,282k,,,,,275k,,,,,275k,,,,,274k,,,,,273k,,,,,273k
Qatar,310k,,,,,362k,,,,,360k,,,,,646k,,,,,1.46M,,,,,1.69M,,,,,2.23M
Romania,136k,,,,,135k,,,,,134k,,,,,145k,,,,,177k,,,,,281k,,,,,705k
Russia,11.5M,,,,,11.9M,,,,,11.9M,,,,,11.7M,,,,,11.2M,,,,,11.6M,,,,,11.6M
Rwanda,160k,,,,,216k,,,,,347k,,,,,423k,,,,,427k,,,,,515k,,,,,514k
Saudi Arabia,5M,,,,,5.12M,,,,,5.26M,,,,,6.5M,,,,,8.43M,,,,,10.8M,,,,,13.5M
Sudan,1.4M,,,,,1.05M,,,,,805k,,,,,546k,,,,,619k,,,,,621k,,,,,1.38M
Senegal,270k,,,,,288k,,,,,232k,,,,,238k,,,,,256k,,,,,266k,,,,,275k
Singapore,727k,,,,,991k,,,,,1.35M,,,,,1.71M,,,,,2.16M,,,,,2.48M,,,,,2.52M
Solomon Islands,4230,,,,,4180,,,,,3980,,,,,3270,,,,,2760,,,,,2590,,,,,2520
Sierra Leone,222k,,,,,98.5k,,,,,98k,,,,,146k,,,,,79.3k,,,,,58.8k,,,,,53.7k
El Salvador,47.4k,,,,,39.5k,,,,,31.7k,,,,,36k,,,,,40.3k,,,,,42.1k,,,,,42.8k
San Marino,3310,,,,,3660,,,,,4050,,,,,4220,,,,,4880,,,,,5200,,,,,5540
Somalia,478k,,,,,19.5k,,,,,20.1k,,,,,20.8k,,,,,48.1k,,,,,41k,,,,,58.6k
Serbia,99.3k,,,,,871k,,,,,978k,,,,,855k,,,,,826k,,,,,807k,,,,,823k
South Sudan,0,,,,,0,,,,,0,,,,,0,,,,,231k,,,,,844k,,,,,882k
Sao Tome and Principe,5580,,,,,4940,,,,,4370,,,,,3430,,,,,2700,,,,,2390,,,,,2140
Suriname,18.1k,,,,,22.3k,,,,,27.5k,,,,,33.7k,,,,,39.7k,,,,,43.1k,,,,,47.8k
Slovak Republic,41.3k,,,,,69.3k,,,,,116k,,,,,130k,,,,,146k,,,,,178k,,,,,197k
Slovenia,178k,,,,,174k,,,,,215k,,,,,217k,,,,,254k,,,,,238k,,,,,278k
Sweden,789k,,,,,936k,,,,,1M,,,,,1.13M,,,,,1.34M,,,,,1.6M,,,,,2M
Eswatini,75k,,,,,35.2k,,,,,34.1k,,,,,33.4k,,,,,32.6k,,,,,32.4k,,,,,32.9k
Seychelles,3720,,,,,5150,,,,,6570,,,,,9000,,,,,11.4k,,,,,12.8k,,,,,13.1k
Syria,714k,,,,,831k,,,,,835k,,,,,882k,,,,,1.78M,,,,,836k,,,,,869k
Chad,74.3k,,,,,89.6k,,,,,105k,,,,,352k,,,,,417k,,,,,467k,,,,,547k
Togo,84.8k,,,,,102k,,,,,138k,,,,,204k,,,,,256k,,,,,277k,,,,,280k
Thailand,529k,,,,,810k,,,,,1.26M,,,,,2.2M,,,,,3.23M,,,,,3.47M,,,,,3.63M
Tajikistan,429k,,,,,348k,,,,,299k,,,,,280k,,,,,280k,,,,,275k,,,,,276k
Turkmenistan,307k,,,,,274k,,,,,219k,,,,,213k,,,,,198k,,,,,196k,,,,,195k
Timor-Leste,8950,,,,,9740,,,,,10.6k,,,,,11.3k,,,,,11.5k,,,,,8520,,,,,8400
Tonga,2910,,,,,3270,,,,,3680,,,,,4300,,,,,4610,,,,,3950,,,,,3740
Trinidad and Tobago,50.7k,,,,,46k,,,,,41.8k,,,,,44.8k,,,,,48.2k,,,,,50k,,,,,78.8k
Tunisia,38k,,,,,37.9k,,,,,36.7k,,,,,35k,,,,,43.2k,,,,,56.5k,,,,,60.1k
Turkey,1.16M,,,,,1.22M,,,,,1.28M,,,,,1.32M,,,,,1.37M,,,,,4.35M,,,,,6.05M
Tuvalu,318,,,,,263,,,,,218,,,,,209,,,,,220,,,,,230,,,,,239
Taiwan,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Tanzania,574k,,,,,1.11M,,,,,950k,,,,,771k,,,,,310k,,,,,385k,,,,,426k
Uganda,544k,,,,,607k,,,,,584k,,,,,593k,,,,,493k,,,,,851k,,,,,1.72M
Ukraine,6.89M,,,,,6.17M,,,,,5.53M,,,,,5.05M,,,,,4.82M,,,,,4.92M,,,,,5M
Uruguay,98.1k,,,,,93.4k,,,,,88.9k,,,,,82.3k,,,,,76.3k,,,,,78.8k,,,,,108k
USA,23.3M,,,,,28.5M,,,,,34.8M,,,,,39.3M,,,,,44.2M,,,,,48.2M,,,,,50.6M
Uzbekistan,1.65M,,,,,1.51M,,,,,1.41M,,,,,1.33M,,,,,1.22M,,,,,1.17M,,,,,1.16M
St. Vincent and the Grenadines,3970,,,,,4140,,,,,4310,,,,,4440,,,,,4570,,,,,4640,,,,,4740
Venezuela,1.03M,,,,,1.02M,,,,,1.01M,,,,,1.08M,,,,,1.35M,,,,,1.4M,,,,,1.32M
Vietnam,28.1k,,,,,51.3k,,,,,56.8k,,,,,51.8k,,,,,61.8k,,,,,72.8k,,,,,76.8k
Vanuatu,2310,,,,,2460,,,,,2630,,,,,2800,,,,,2990,,,,,3190,,,,,3260
Samoa,3360,,,,,4690,,,,,6000,,,,,5750,,,,,5120,,,,,4260,,,,,4020
Yemen,119k,,,,,137k,,,,,145k,,,,,172k,,,,,288k,,,,,380k,,,,,387k
South Africa,1.16M,,,,,1M,,,,,1.02M,,,,,1.35M,,,,,2.11M,,,,,3.23M,,,,,2.86M
Zambia,279k,,,,,244k,,,,,344k,,,,,253k,,,,,150k,,,,,132k,,,,,188k
Zimbabwe,635k,,,,,431k,,,,,410k,,,,,402k,,,,,398k,,,,,400k,,,,,416k
