country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Spain,1.44M,,,,,1.36M,,,,,1.29M,,,,,1.11M,,,,,1.09M,,,,,1.27M,,,,,1.49M
Estonia,114k,,,,,130k,,,,,142k,,,,,150k,,,,,154k,,,,,189k,,,,,207k
Ethiopia,1.69M,,,,,816k,,,,,446k,,,,,524k,,,,,680k,,,,,842k,,,,,946k
Finland,251k,,,,,289k,,,,,316k,,,,,301k,,,,,292k,,,,,282k,,,,,312k
Fiji,90.2k,,,,,106k,,,,,132k,,,,,157k,,,,,184k,,,,,209k,,,,,234k
France,1.22M,,,,,1.35M,,,,,1.56M,,,,,1.73M,,,,,1.96M,,,,,2.12M,,,,,2.34M
"Micronesia, Fed. Sts.",7710,,,,,12.1k,,,,,16.9k,,,,,18.3k,,,,,19.4k,,,,,20.6k,,,,,24.9k
Gabon,15.3k,,,,,16.6k,,,,,18k,,,,,41.4k,,,,,36.9k,,,,,43.1k,,,,,48.4k
UK,3.79M,,,,,3.71M,,,,,3.86M,,,,,4.15M,,,,,4.43M,,,,,4.38M,,,,,4.73M
Georgia,919k,,,,,953k,,,,,967k,,,,,886k,,,,,806k,,,,,829k,,,,,861k
Ghana,371k,,,,,428k,,,,,496k,,,,,666k,,,,,762k,,,,,892k,,,,,1M
Guinea,353k,,,,,366k,,,,,377k,,,,,405k,,,,,456k,,,,,493k,,,,,551k
Gambia,36.3k,,,,,38.4k,,,,,45.4k,,,,,61.2k,,,,,77.4k,,,,,97k,,,,,139k
Guinea-Bissau,55.4k,,,,,67.1k,,,,,77.7k,,,,,82.8k,,,,,91.5k,,,,,98.2k,,,,,112k
Equatorial Guinea,36.2k,,,,,46.4k,,,,,59.9k,,,,,71.8k,,,,,84.4k,,,,,117k,,,,,129k
Greece,1.02M,,,,,1M,,,,,983k,,,,,868k,,,,,789k,,,,,820k,,,,,1.09M
Grenada,43.2k,,,,,54.1k,,,,,63.8k,,,,,64.6k,,,,,63.9k,,,,,69.1k,,,,,62.2k
Guatemala,348k,,,,,462k,,,,,583k,,,,,737k,,,,,925k,,,,,1.12M,,,,,1.37M
Guyana,233k,,,,,295k,,,,,362k,,,,,393k,,,,,439k,,,,,481k,,,,,438k
"Hong Kong, China",549k,,,,,617k,,,,,686k,,,,,752k,,,,,862k,,,,,957k,,,,,1.01M
Honduras,156k,,,,,247k,,,,,342k,,,,,449k,,,,,588k,,,,,730k,,,,,985k
Holy See,10,,,,,26,,,,,41,,,,,110,,,,,175,,,,,310,,,,,174
Croatia,426k,,,,,735k,,,,,907k,,,,,839k,,,,,820k,,,,,806k,,,,,1.04M
Haiti,525k,,,,,661k,,,,,802k,,,,,968k,,,,,1.12M,,,,,1.47M,,,,,1.77M
Hungary,392k,,,,,404k,,,,,421k,,,,,467k,,,,,511k,,,,,601k,,,,,714k
Indonesia,1.62M,,,,,1.94M,,,,,2.42M,,,,,2.78M,,,,,3.42M,,,,,4.07M,,,,,4.6M
India,6.62M,,,,,7.15M,,,,,7.93M,,,,,9.59M,,,,,13.2M,,,,,15.9M,,,,,17.9M
Ireland,917k,,,,,864k,,,,,821k,,,,,770k,,,,,729k,,,,,737k,,,,,734k
Iran,631k,,,,,747k,,,,,831k,,,,,890k,,,,,986k,,,,,1.16M,,,,,1.33M
Iraq,643k,,,,,753k,,,,,828k,,,,,1.34M,,,,,2.55M,,,,,1.68M,,,,,2.08M
Iceland,17.6k,,,,,21.4k,,,,,26.2k,,,,,28.7k,,,,,32.5k,,,,,37k,,,,,43.3k
Israel,280k,,,,,290k,,,,,304k,,,,,317k,,,,,334k,,,,,331k,,,,,359k
Italy,3.35M,,,,,3.21M,,,,,3.07M,,,,,2.7M,,,,,2.56M,,,,,2.66M,,,,,3.26M
Jamaica,588k,,,,,718k,,,,,858k,,,,,905k,,,,,990k,,,,,1.03M,,,,,1.12M
Jordan,314k,,,,,339k,,,,,368k,,,,,441k,,,,,602k,,,,,707k,,,,,815k
Japan,605k,,,,,653k,,,,,709k,,,,,718k,,,,,757k,,,,,764k,,,,,809k
Kazakhstan,2.97M,,,,,3.3M,,,,,3.55M,,,,,3.72M,,,,,3.8M,,,,,3.89M,,,,,4.2M
Kenya,250k,,,,,278k,,,,,317k,,,,,362k,,,,,443k,,,,,481k,,,,,535k
Kyrgyz Republic,523k,,,,,550k,,,,,566k,,,,,653k,,,,,727k,,,,,743k,,,,,774k
Cambodia,355k,,,,,418k,,,,,460k,,,,,674k,,,,,953k,,,,,1.07M,,,,,1.1M
Kiribati,4050,,,,,4250,,,,,3990,,,,,4020,,,,,3570,,,,,4130,,,,,5100
St. Kitts and Nevis,18.6k,,,,,24.7k,,,,,30.9k,,,,,33.3k,,,,,35.8k,,,,,40.2k,,,,,50.3k
South Korea,1.51M,,,,,1.69M,,,,,1.88M,,,,,1.97M,,,,,2.25M,,,,,2.15M,,,,,2.2M
Kuwait,81.6k,,,,,97k,,,,,113k,,,,,129k,,,,,178k,,,,,195k,,,,,212k
Lao,483k,,,,,548k,,,,,649k,,,,,897k,,,,,1.2M,,,,,1.29M,,,,,1.3M
Lebanon,508k,,,,,532k,,,,,559k,,,,,609k,,,,,700k,,,,,757k,,,,,857k
Liberia,517k,,,,,542k,,,,,248k,,,,,355k,,,,,219k,,,,,206k,,,,,234k
Libya,76.2k,,,,,77.4k,,,,,80k,,,,,100k,,,,,127k,,,,,153k,,,,,186k
St. Lucia,22k,,,,,30.7k,,,,,39.6k,,,,,46.9k,,,,,50.3k,,,,,57.9k,,,,,71.2k
Liechtenstein,3430,,,,,3020,,,,,2690,,,,,2940,,,,,3590,,,,,3540,,,,,3710
Sri Lanka,884k,,,,,924k,,,,,979k,,,,,1.15M,,,,,1.45M,,,,,1.66M,,,,,1.96M
Lesotho,191k,,,,,137k,,,,,121k,,,,,159k,,,,,243k,,,,,191k,,,,,202k
Lithuania,341k,,,,,342k,,,,,349k,,,,,412k,,,,,518k,,,,,556k,,,,,658k
Luxembourg,36.1k,,,,,37.9k,,,,,39.8k,,,,,52.8k,,,,,62k,,,,,69.4k,,,,,81.8k
Latvia,215k,,,,,229k,,,,,239k,,,,,271k,,,,,278k,,,,,369k,,,,,380k
Morocco,1.75M,,,,,1.88M,,,,,2.08M,,,,,2.47M,,,,,2.86M,,,,,2.97M,,,,,3.26M
Monaco,4480,,,,,4780,,,,,5120,,,,,19.1k,,,,,27k,,,,,29.3k,,,,,32.6k
Moldova,626k,,,,,620k,,,,,603k,,,,,715k,,,,,827k,,,,,930k,,,,,1.16M
Madagascar,59.4k,,,,,67.3k,,,,,77.1k,,,,,149k,,,,,161k,,,,,176k,,,,,194k
Maldives,2190,,,,,1690,,,,,1220,,,,,2210,,,,,3540,,,,,3610,,,,,3720
Mexico,4.4M,,,,,6.95M,,,,,9.56M,,,,,10.8M,,,,,12.4M,,,,,11.9M,,,,,11.2M
Marshall Islands,1430,,,,,4150,,,,,6980,,,,,6650,,,,,6490,,,,,7630,,,,,10.9k
North Macedonia,432k,,,,,492k,,,,,532k,,,,,459k,,,,,526k,,,,,563k,,,,,694k
Mali,647k,,,,,821k,,,,,773k,,,,,895k,,,,,995k,,,,,1.23M,,,,,1.3M
Malta,111k,,,,,110k,,,,,105k,,,,,100k,,,,,99.3k,,,,,93.6k,,,,,103k
Myanmar,685k,,,,,911k,,,,,1.22M,,,,,1.74M,,,,,2.49M,,,,,2.84M,,,,,3.71M
Montenegro,77.4k,,,,,145k,,,,,183k,,,,,148k,,,,,149k,,,,,134k,,,,,133k
Mongolia,24.5k,,,,,27.7k,,,,,30.6k,,,,,42.4k,,,,,57.4k,,,,,65.5k,,,,,82.1k
Mozambique,2.22M,,,,,813k,,,,,644k,,,,,663k,,,,,798k,,,,,597k,,,,,640k
Mauritania,134k,,,,,152k,,,,,108k,,,,,103k,,,,,114k,,,,,115k,,,,,130k
Mauritius,111k,,,,,114k,,,,,119k,,,,,131k,,,,,148k,,,,,166k,,,,,183k
Malawi,143k,,,,,151k,,,,,186k,,,,,222k,,,,,261k,,,,,297k,,,,,311k
Malaysia,560k,,,,,861k,,,,,1.2M,,,,,1.38M,,,,,1.6M,,,,,1.78M,,,,,1.86M
Namibia,16.1k,,,,,28.2k,,,,,49.3k,,,,,65.6k,,,,,99.6k,,,,,50.4k,,,,,47.8k
Niger,150k,,,,,177k,,,,,205k,,,,,304k,,,,,336k,,,,,375k,,,,,400k
Nigeria,447k,,,,,525k,,,,,610k,,,,,817k,,,,,997k,,,,,1.31M,,,,,1.67M
Nicaragua,441k,,,,,438k,,,,,502k,,,,,556k,,,,,610k,,,,,656k,,,,,718k
Netherlands,716k,,,,,727k,,,,,748k,,,,,791k,,,,,854k,,,,,867k,,,,,970k
Norway,138k,,,,,151k,,,,,164k,,,,,174k,,,,,180k,,,,,186k,,,,,191k
Nepal,748k,,,,,856k,,,,,977k,,,,,1.29M,,,,,1.71M,,,,,2.27M,,,,,2.6M
Nauru,1420,,,,,1510,,,,,1590,,,,,1870,,,,,2130,,,,,2270,,,,,2450
New Zealand,388k,,,,,417k,,,,,490k,,,,,556k,,,,,662k,,,,,738k,,,,,806k
Oman,12.5k,,,,,13.8k,,,,,15.6k,,,,,18.8k,,,,,20.8k,,,,,22.8k,,,,,25.1k
Pakistan,3.34M,,,,,3.34M,,,,,3.41M,,,,,3.78M,,,,,4.79M,,,,,5.8M,,,,,6.33M
Panama,134k,,,,,133k,,,,,137k,,,,,131k,,,,,140k,,,,,150k,,,,,140k
Peru,313k,,,,,505k,,,,,694k,,,,,969k,,,,,1.3M,,,,,1.41M,,,,,1.52M
